bare_root,syl,meaning,section,noun,verb,adjective,adverb,consensus_prefix,is_function_word,derivation_mask,notes
fora,2,fire,A,fora,fora,foras,foras,a-,false,NVA,
lumi,2,light,A,lumi,lumi,lumis,lumis,o-,false,NVA,
lira,2,water,A,lira,lira,liras,liras,i-,false,NVA,
lima,2,air,A,lima,lima,limas,limas,i-,false,NVA,
kaera,2,earth / soil,A,kaera,kaera,kaeras,kaeras,ae-,false,NVA,
kora,2,stone / rock,A,kora,kora,koras,koras,y-,false,NA,
sola,2,star,A,sola,sola,solas,solas,o-,false,NA,
rora,2,sun,A,rora,rora,roras,roras,a-,false,NA,
yre,2,moon,A,yre,yre,yres,yres,o-,false,NA,
tiri,2,sky,A,tiri,tiri,tiris,tiris,i-,false,NA,
symak,2,smoke / mist,A,symak,symak,symaks,symaks,i-,false,NVA,
maeha,2,person / human,B,maeha,maeha,maehas,maehas,a-,false,N,
maeda,2,body,B,maeda,maeda,maedas,maedas,a-,false,NA,
hinar,2,hand,B,hinar,hinar,hinars,hinars,a-,false,NV,
winar,2,eye,B,winar,winar,winars,winars,a-,false,NV,
tilda,2,ear,B,tilda,tilda,tildas,tildas,a-,false,NV,
rilda,2,mouth,B,rilda,rilda,rildas,rildas,a-,false,NV,
pesha,2,blood,B,pesha,pesha,peshas,peshas,a-,false,NA,
hawu,2,animal / beast,B,hawu,hawu,hawus,hawus,a-,false,N,
fein,1,bird,B,fein,fein,feins,feins,a-,false,N,
fei,1,fly / flying,B,fei,fei,feis,feis,a-,false,NVAD,
lir,1,fish,B,lir,lir,lirs,lirs,a-,false,NA,
lunla,2,tree,B,lunla,lunla,lunlas,lunlas,u-,false,NA,
slu,1,flower,B,slu,slu,slus,slus,u-,false,NA,
giliu,2,metal / iron,C,giliu,giliu,gilius,gilius,y-,false,NA,
lunlagak,3,wood,C,lunjlagak,lunvlagak,lunlajgak,lunlavgak,ae-,false,NA,
klang,1,cloth / fabric,C,klang,klang,klangs,klangs,e-,false,NA,
slato,2,house / dwelling,C,slato,slato,slatos,slatos,ae-,false,NVA,
donar,2,door,C,donar,donar,donars,donars,ae-,false,N,
maliu,2,knife / blade,C,maliu,maliu,malius,malius,y-,false,N,
tek,1,tool,C,tek,tek,teks,teks,e-,false,N,
hamin,2,food,C,hamin,hamin,hamins,hamins,e-,false,N,
bau,1,bread,C,bau,bau,baus,baus,e-,false,N,
pei,1,cup / container,C,pei,pei,peis,peis,e-,false,NA,
selo,2,path / road,C,selo,selo,selos,selos,ae-,false,NA,
rusome,3,room / chamber,C,rujsome,ruvsome,rusojme,rusovme,ae-,false,N,
gilan,2,mountain,C,gilan,gilan,gilans,gilans,y-,false,NA,
liwat,2,lake,C,liwat,liwat,liwats,liwats,i-,false,NA,
taka,2,eat,D,taka,taka,takas,takas,a-,false,VAD,
retanik,3,drink,D,rejtanik,revtanik,retajnik,retavnik,a-,false,VAD,
taki,2,drink,D,taki,taki,takis,takis,a-,false,VAD,
aultake,3,enter,D,aujltake,auvltake,aultajke,aultavke,o-,false,VAD,
kau,1,come,D,kau,kau,kaus,kaus,o-,false,VAD,
aug,1,start / begin,D,aug,aug,augs,augs,o-,false,NVAD,
sounar,2,give,D,sounar,sounar,sounars,sounars,o-,false,VAD,
thanar,2,take / get,D,thanar,thanar,thanars,thanars,o-,false,VAD,
tesak,2,make / create,D,tesak,tesak,tesaks,tesaks,o-,false,VAD,
minau,2,stand / stay,D,minau,minau,minaus,minaus,o-,false,NVAD,
sopa,2,watch / look,D,sopa,sopa,sopas,sopas,a-,false,VAD,
kup,1,cut,D,kup,kup,kups,kups,a-,false,NVAD,
thep,1,sleep,D,thep,thep,theps,theps,a-,false,VAD,
tle,1,wait,D,tle,tle,tles,tles,o-,false,VAD,
rali,2,big / large,E,rali,rali,ralis,ralis,o-,false,AD,
pag,1,small,E,pag,pag,pags,pags,o-,false,AD,
wem,1, warm,E,wem,wem,wems,wems,o-,false,AD,
kop,1,cold,E,kop,kop,kops,kops,o-,false,AD,
gor,1,good,E,gor,gor,gors,gors,o-,false,AD,
bono,2,bad,E,bono,bono,bonos,bonos,o-,false,AD,
my,1,dark,E,my,my,mys,mys,o-,false,AD,
shuk,1,fast / quick,E,shuk,shuk,shuks,shuks,o-,false,AD,
pusar,2,slow,E,pusar,pusar,pusars,pusars,o-,false,AD,
roli,2,lot / many,E,roli,roli,rolis,rolis,o-,false,AD,
mekri,2,few,E,mekri,mekri,mekris,mekris,o-,false,AD,
meki,2,most,E,meki,meki,mekis,mekis,o-,false,AD,
eski,2,each,E,eski,eski,eskis,eskis,o-,false,AD,
amin,2,any,E,amin,amin,amins,amins,o-,false,AD,
naram,2,none,E,naram,naram,narams,narams,o-,false,AD,
