form,syl_count,meaning,derivation_mask,noun,verb,adjective,adverb,consensus_prefix,is_function_word,is_compound,compound_type,notes
fora,2,fire / to set fire / to burn / burning,NVA,fora,fora,foras,,a-,false,false,,
lumi,2,light / to light / lucent / bright / illuminated,NVA,lumi,lumi,lumis,,a-,false,false,,
lira,2,water / to water / wet,NVA,lira,lira,liras,,i-,false,false,,
lima,2,humidity / moisture / humidify / humid / moist,NVA,lima,lima,limas,,i-,false,false,,
kaera,2,ground / to land,NV,kaera,kaera,,,ae-,false,false,,
kora,2,soil / muddy,NA,kora,,koras,,ae-,false,false,,
sola,2,"star / starry / dispersed, scattered",NA,sola,,solas,,i-,false,false,,
rora,2,sun / solar / sunny,NA,rora,,roras,,a-,false,false,,
yre,2,moon / lunar / round-shape,NA,yre,,yres,,i-,false,false,,
tiri,2,"a colour close to azure, cerulean, teal, and dusky blue-green; usually used to describe sky or sea / austere and solemn / solemnly",NAD,tiri,,tiris,tiris,i-,false,false,,
symak,2,smoke / to smoke / smoky,NVA,symak,symak,symaks,,i-,false,false,,
maeha,2,person / human / personal / relating to human,NA,maeha,,maehas,,a-,false,false,,
maeda,2,body of living creatures / painted metal shell of vehicle / main part of sth,N,maeda,,,,a-,false,false,,
hinar,2,hand / to touch / handy or skillful,NVA,hinar,hinar,hinars,,u-,false,false,,
winar,2,eye / see / eye-sight / use eye contact to give a hint,NV,winar,winar,,,u-,false,false,,
tilda,2,ear / hear,NV,tilda,tilda,,,u-,false,false,,
rilda,2,mouth / speak / making sound with mouth / talkative,NVA,rilda,rilda,rildas,,u-,false,false,,
klush,1,blood / bleed / bloody,NVA,klush,klush,klushs,,a-,false,false,,
hawu,2,animal / beast,N,hawu,,,,a-,false,false,,
fein,1,bird / cackle / chatter,NV,fein,fein,,,a-,false,false,,
fei,1,fly/flight / fly / moving or able to move through the air with wing,NVA,fei,fei,feis,,i-,false,false,,
lir,1,fish / fishy,NA,lir,,lirs,,a-,false,false,,
lunla,2,tree / to plant / to erect,NV,lunla,lunla,,,u-,false,false,,
fru,1,flower / bloom / floral / young lady,NVA,fru,fru,frus,,u-,false,false,,
giliu,2,metal / metallic,NA,giliu,,gilius,,y-,false,false,,
lunlagak,3,wood / wooden,NA,lujnlagak,,lunlajgak,,ae-,false,true,mono,
klam,1,cloth / fabric / to weave / woven,NVA,klam,klam,klams,,e-,false,false,,
srato,2,"house / dwelling / to give a person or animal a place to live, or to provide space for something",NV,slato,slato,,,y-,false,false,,
piliu,2,door,N,piliu,,,,ae-,false,false,,
maliu,2,knife / blade / slash or cut with sharp tools / sharp,NVA,maliu,maliu,malius,,e-,false,false,,
tek,1,tool,N,tek,,,,e-,false,false,,
hamin,2,food / to feed,NV,hamin,hamin,,,u-,false,false,,
bau,1,bread / bake,NV,bau,bau,,,u-,false,false,,
pei,1,cup / trophy / container / measure word for liquid in the cup,N,pei,,,,e-,false,false,,
selo,2,"path, road / pathway / way / method",N,selo,,,,ae-,false,false,,
rusome,3,room / chamber,N,rujsome,,,,ae-,false,false,,
gilan,2,mountain / mountainous,NA,gilan,,gilans,,ae-,false,false,,
liwat,2,lake,N,liwat,,,,i-,false,false,,
taka,2,meal / eat,NV,taka,taka,,,u-,false,false,,
retanik,3,drink / to drink,NV,rejtanik,revtanik,,,u-,false,false,,
taki,2,hunger / starvation / starve / hungry / hungrily,NVAD,taki,taki,takis,takis,u-,false,false,,
aultake,3,entering / enter,NV,aujltake,auvltake,,,ae-,false,false,,
kau,1,arrival / arrive / come / incoming,NVA,kau,kau,kaus,,o-,false,false,,
aug,1,start/starting/beginning / start/begin,NV,aug,aug,,,o-,false,false,,
sounar,2,gift / give,NV,sounar,sounar,,,e-,false,false,,
thaki,2,to take / to get,V,,thaki,,,o-,false,false,,
tesak,2,creativity / to make or to create / creative / creatively,NVAD,tesak,tesak,tesaks,tesaks,e-,false,false,,
minau,2,stay / stand / to stay / standing,NVA,minau,minau,minaus,,o-,false,false,,
sopa,2,watch / look,V,,sopa,,,o-,false,false,,
kup,1,cut / to cut,NV,kup,kup,,,e-,false,false,,
thep,1,sleep / to sleep / sleepy / sleepily,NVAD,thep,thep,theps,theps,u-,false,false,,
tle,1,wait / to wait,NV,tle,tle,,,o-,false,false,,
rali,2,big / large / largely,AD,,,ralis,ralis,o-,false,false,,
pag,1,small,A,,,pags,,o-,false,false,,
wem,1,body temperature / to warm / warm / warmly / warmth,NVAD,wem,wem,wems,wems,a-,false,false,,
kop,1,coldness / cool down / cold,NVA,kop,kop,kops,,o-,false,false,,
gor,1,goodness / good / goodly,NAD,gor,,gors,gors,o-,false,false,,
bonak,2,bad / badly,AD,,,bonaks,bonaks,o-,false,false,,
my,1,darkness / dark / dark,NA,my,,mys,,y-,false,false,,
shuk,1,fast / quick / fast / quickly,AD,,,shuks,shuks,o-,false,false,,
pusar,2,slowness / slow down / slow / slowly,NVAD,pusar,pusar,pusars,pusars,o-,false,false,,
roli,2,lot of / many,N,roli,,,,o-,false,false,,
